Rank,Prizes,rating,phi,comparisons,win %,beats best,beats median,beats worst,expansion,Qvist category,Last Update:,24-Apr-2020 21:14:55 UTC
1,Followers,1.85,0.23,111,82%,50%,85%,98%,Cornucopia,Prizes,Rate cards at:,https://sites.google.com/view/domrating
2,Trusty Steed,0.85,0.16,197,58%,27%,69%,95%,Cornucopia,Prizes,,
3,Princess,0.06,0.17,178,45%,15%,50%,89%,Cornucopia,Prizes,,
4,Diadem,-1.31,0.18,156,44%,4%,20%,67%,Cornucopia,Prizes,,
5,Bag of Gold,-2.03,0.20,128,24%,2%,11%,50%,Cornucopia,Prizes,,
