Rank,Ruins,rating,phi,comparisons,win %,beats best,beats median,beats worst,expansion,Qvist category,Last Update:,24-Apr-2020 21:14:55 UTC
1,Ruined Market,3.02,0.37,97,98%,50%,95%,100%,Dark Ages,Ruins,Rate cards at:,https://sites.google.com/view/domrating
2,Abandoned Mine,0.10,0.19,163,46%,6%,54%,93%,Dark Ages,Ruins,,
3,Ruined Library,-0.06,0.17,189,54%,5%,50%,92%,Dark Ages,Ruins,,
4,Survivors,-0.63,0.17,178,43%,3%,36%,87%,Dark Ages,Ruins,,
5,Ruined Village,-2.60,0.34,81,6%,0%,8%,50%,Dark Ages,Ruins,,
